ID,NImpacto,Weight
M3 - S363,Alta,1
M4 - S364,Alta,1
M5 - S365,Media,1
M6 - S366,Alta,1
M7 - S367,Alta,1
M8 - S368,Alta,1
M9 - S369,Alta,1
M10 - S370,Alta,1
M11 - S371,Alta,1
M12 - S372,Alta,1
M1 - S373,,0
M2 - S374,Alta,1
M3 - S375,Media,1
M4 - S376,Alta,1
M5 - S377,,0
M6 - S378,Alta,1
M7 - S379,,0
M8 - S380,,0
M9 - S381,,0
M10 - S382,Alta,1
M11 - S383,Alta,1
M12 - S384,Alta,1
M1 - S385,Alta,1
M2 - S386,Alta,1
M3 - S387,Alta,1
M4 - S388,Alta,1
M5 - S389,Alta,1
M6 - S390,Alta,1
M7 - S391,Alta,1
M8 - S392,Alta,1
M9 - S393,Media,1
M10 - S394,Alta,1
M11 - S395,,0
M12 - S396,,0
M1 - S397,,0
M2 - S398,,0
M3 - S399,Alta,1
M4 - S400,Alta,1
M5 - S401,Alta,1
M6 - S402,Alta,1
M7 - S403,Alta,1
M8 - S404,Alta,1
M9 - S405,,0
M10 - S406,,0
M11 - S407,,0
M12 - S408,Alta,1
M1 - S409,Alta,1
M2 - S410,Alta,1
M3 - S411,Alta,1
M4 - S412,Alta,1
M5 - S413,Alta,1
M6 - S414,,0
M7 - S415,,0
M8 - S416,Alta,1
M9 - S417,Alta,1
M10 - S418,Alta,1
M11 - S419,Alta,1
M12 - S420,,0
M1 - S421,Alta,1
M2 - S422,,0
M3 - S423,Alta,1
M4 - S424,Alta,1
M5 - S425,Alta,1
M6 - S426,Alta,1
M7 - S427,Alta,1
M8 - S428,Alta,1
M9 - S429,Alta,1
M10 - S430,Alta,1
M11 - S431,Alta,1
M12 - S432,,0
M1 - S433,Alta,1
M2 - S434,Alta,1
M3 - S435,,0
M4 - S436,Alta,1
M5 - S437,Media,1
M6 - S438,Alta,1
M7 - S439,Media,1
M8 - S440,Alta,1
M9 - S441,,0
M10 - S442,,0
M11 - S443,,0
M12 - S444,Media,1
M1 - S445,Media,1
M2 - S446,,0
M3 - S447,,0
M4 - S448,,0
M5 - S449,,0
M6 - S450,Alta,1
M7 - S451,Alta,1
M8 - S452,Alta,1
M9 - S453,Alta,1
M10 - S454,Alta,1
M11 - S455,,0
M12 - S456,Alta,1
M1 - S457,,0
M2 - S458,Alta,1
M3 - S459,Alta,1
M4 - S460,Alta,1
M5 - S461,Alta,1
M6 - S462,Alta,1
M7 - S463,Alta,1
M8 - S464,Alta,1
M9 - S465,Alta,1
M10 - S466,Alta,1
M11 - S467,,0
M12 - S468,Alta,1
M1 - S469,Media,1
M2 - S470,Alta,1
M3 - S471,Alta,1
M4 - S472,Alta,1
M5 - S473,Alta,1
M6 - S474,,0
M7 - S475,Alta,1
M8 - S476,Alta,1
M9 - S477,Alta,1
M10 - S478,Alta,1
M11 - S479,Alta,1
M12 - S480,Alta,1
M1 - S481,Media,1
M2 - S482,Alta,1
M3 - S483,Alta,1
M4 - S484,Alta,1
M5 - S485,Alta,1
M6 - S486,Media,1
M7 - S487,,0
M8 - S488,Alta,1
M9 - S489,,0
M10 - S490,,0
M11 - S491,Media,1
M12 - S492,,0
M1 - S493,Media,1
M2 - S494,Alta,1
M3 - S495,Alta,1
M4 - S496,Media,1
M5 - S497,Alta,1
M6 - S498,Alta,1
M7 - S499,,0
M8 - S500,,0
M9 - S501,Alta,1
M10 - S502,Alta,1
M11 - S503,,0
M12 - S504,,0
M1 - S505,,0
M2 - S506,,0
M3 - S507,,0
M4 - S508,Alta,1
M5 - S509,Alta,1
M6 - S510,Alta,1
M7 - S511,,0
M8 - S512,,0
M9 - S513,,0
M10 - S514,,0
M11 - S515,,0
M12 - S516,Alta,1
